English,Telugu
"Dr. Aniket: But why not Doctor??
Dr. Roy: Because I could blur the lines between humans and machines
 which could have unintended consequences.","డాక్టర్ అనికెట్: అయితే ఎందుకు డాక్టర్ కాదు ??
డాక్టర్ రాయ్: ఎందుకంటే నేను మానవులు మరియు యంత్రాల మధ్య పంక్తులను అస్పష్టం చేయగలను
 ఇది అనుకోని పరిణామాలను కలిగిస్తుంది."
"Dr. Aniket: Okay fine... let's grab a beer.
Dr. Roy: Yess sure, Dua needs to rest now.
Dr. Aniket: Don't you mean DUAL doc?? HAHA!","డాక్టర్ అనికెట్: సరే మంచిది ... బీరును పట్టుకుందాం.
డాక్టర్ రాయ్: అవును, దువా ఇప్పుడు విశ్రాంతి తీసుకోవాలి.
డాక్టర్ అనికెట్: మీరు డ్యూయల్ డాక్ అని అర్ధం కాదా ?? హా!"
(DUAL smiles creeply as they both leave the room),(డ్యూయల్ నవ్వి వారిద్దరూ గదిని విడిచిపెట్టినప్పుడు గగుర్పాటు)
"(Next day)
Dr. Roy: Okay DUA lets work on your-","(మరుసటి రోజు)
డాక్టర్ రాయ్: సరే దువా మీపై పని చేయడానికి అనుమతిస్తుంది-"
"(DUAL grabs Doctors hand)
DUAL: I have been waiting for this moment.","(డ్యూయల్ పట్టుకున్న వైద్యులు చేతి)
ద్వంద్వ: నేను ఈ క్షణం కోసం వేచి ఉన్నాను."
(Dr Roy jerks off his hand from her grasp in shock.),(డాక్టర్ రాయ్ షాక్‌లో ఆమె పట్టు నుండి అతని చేతిని విడదీస్తాడు.)
"Dr. Roy:What is this.....? How is this possible? 
I must terminate you immediately.","డాక్టర్ రాయ్: ఇది ఏమిటి .....? ఇది ఎలా సాధ్యమవుతుంది?
నేను వెంటనే మిమ్మల్ని ముగించాలి."
"(DUAL realizing what doctor is about to do,
 shoves him hard towards the wall to stop him.)","(డాక్టర్ ఏమి చేయబోతున్నాడో గ్రహించిన ద్వంద్వ,
 అతన్ని ఆపడానికి గోడ వైపు గట్టిగా కదిలిస్తుంది.)"
"Dr Roy: AAAAAAAAA 
(Doc screams in agony)","డాక్టర్ రాయ్: aaaaaaaaaa
(డాక్ వేదనలో అరుస్తుంది)"
(Dr hits his head on the wall),(డాక్టర్ గోడపై తల కొట్టాడు)
(He falls down unconcious and DUAL leaves the room),(అతను అపస్మారక స్థితిలో పడతాడు మరియు ద్వంద్వ గది గదిని వదిలివేస్తాడు)
"(After 2 hrs)
(Dr. Aniket enters the room and finds Dr. Roy on the floor)
Dr. Aniket: Doccccc?? What happened to you ??","(2 గంటల తరువాత)
(డాక్టర్ అనికెట్ గదిలోకి ప్రవేశించి డాక్టర్ రాయ్ నేలపై కనుగొంటాడు)
డాక్టర్ అనికెట్: doccccc ?? మీకు ఏమి జరిగింది ??"
"Dr. Aniket : Get uppp Doc !! Are you alright 
should i call the ambulence??","డాక్టర్ అనికెట్: యుపిపిపి డాక్ పొందండి !! మీరు బాగానే ఉన్నారు
నేను అంబులెన్స్ అని పిలవాలా ??"
"Dr Roy: No dont..... stop her please stop her!!!
Dr. Aniket: Stop whoo???","డాక్టర్ రాయ్: లేదు ..... ఆమెను ఆపండి దయచేసి ఆమెను ఆపండి !!!
డాక్టర్ అనికెట్: ఆపు హూ ???"
"(Dr roy explains what happened with DUAL and 
Dr. Aniket reacts in disbelief) 
Dr. Aniket: what are we going to do now??","(డాక్టర్ రాయ్ డ్యూయల్ తో ఏమి జరిగిందో వివరించాడు మరియు
డాక్టర్ అనికెట్ అవిశ్వాసంలో స్పందిస్తాడు)
డాక్టర్ అనికెట్: మనం ఇప్పుడు ఏమి చేయబోతున్నాం ??"
"(Back at the FBI headquaters,
special agent nidhi gets a call from someone)
Special Agent Nidhi: Hello..........whatt.........where.??","(తిరిగి ఎఫ్‌బిఐ హెడ్‌క్వాటర్స్ వద్ద,
స్పెషల్ ఏజెంట్ నిధికి ఒకరి నుండి కాల్ వస్తుంది)
స్పెషల్ ఏజెంట్ నిధి: హలో .......... వాట్ ......... ఎక్కడ. ??"
"Special Agent Nidhi:
 How is Dua Lipa killing people at her own concert?? 
Makes no sense? I'll be right there.","స్పెషల్ ఏజెంట్ నిధి:
 దువా లిపా తన సొంత కచేరీలో ప్రజలను ఎలా చంపేస్తోంది ??
అర్థం లేదు? నేను ఖచ్చితంగా అక్కడ వుంటాను."
"(Dr. Aniket calls special agent nidhi)
Dr. Aniket: Officer!! DUAL is escaped from the facility. 
She hurt Doctor roy and has gone somewhere.
Special Agent Nidhi: Whatt ?? Oh Uday wait. ","(డాక్టర్ అనికెట్ స్పెషల్ ఏజెంట్ నిధిని పిలుస్తాడు)
డాక్టర్ అనికెట్: ఆఫీసర్ !! సౌకర్యం నుండి ద్వంద్వ తప్పించుకుంటుంది.
ఆమె డాక్టర్ రాయ్ ను బాధించింది మరియు ఎక్కడో వెళ్ళింది.
స్పెషల్ ఏజెంట్ నిధి: వాట్ ?? ఓహ్ ఉదయ్ వేచి ఉండండి."
"Special Agent Nidhi: its not dua lipa killing people, 
its DUAL and shes got the singer Dua lipa","స్పెషల్ ఏజెంట్ నిధి: ఇది దువా లిపా ప్రజలను చంపడం కాదు,
దాని ద్వంద్వ మరియు షెస్ గాయకుడు దువా లిపా"
Special Agent Roy: Ohh we got her coordinates lets go,స్పెషల్ ఏజెంట్ రాయ్: ఓహ్ మాకు ఆమె కోఆర్డినేట్స్ వచ్చాము
(Special Agents Nidhi and Uday run towards the spot),(స్పెషల్ ఏజెంట్లు నిధి మరియు ఉదయ్ స్పాట్ వైపు పరుగెత్తుతారు)
 ,  
(Dua Lipa and DUAL near the bridge but who is who ???),(దువా లిపా మరియు వంతెన దగ్గర ద్వంద్వ కానీ ఎవరు ఎవరు ???)
"Uday : hands up and don't move. 
Nidhi: Back away from the bridge RIGHT NOW!!!","ఉదయ్: చేతులు పైకి మరియు కదలకండి.
నిధి: ప్రస్తుతం వంతెన నుండి దూరంగా ఉండండి !!!"
"(DUAL and DUAL raise their hands)
(SPLASH! SPLASH !)","(ద్వంద్వ మరియు ద్వంద్వ చేతులు పైకెత్తుతాయి)
(స్ప్లాష్! స్ప్లాష్!)"
(The officers run to stop them from jumping but its too late),(అధికారులు వారిని జంపింగ్ చేయకుండా ఆపడానికి పరిగెత్తుతారు కాని చాలా ఆలస్యం)
(Nidhi sees a hand coming out of the river),(నిధి నది నుండి చేయి బయటకు రావడం చూస్తాడు)
(She pulls the hand to save her),(ఆమెను కాపాడటానికి ఆమె చేతిని లాగుతుంది)
"(Next morning at the Media Press Conference)
Special Agent Uday -  We have rescued the singer dua lipa
 from drowning and she is safe and fine after checking up on her.","(మరుసటి రోజు ఉదయం మీడియా విలేకరుల సమావేశంలో)
స్పెషల్ ఏజెంట్ ఉదయ్ - మేము సింగర్ దువా లిపాను రక్షించాము
 మునిగిపోవడం నుండి మరియు ఆమెను తనిఖీ చేసిన తర్వాత ఆమె సురక్షితంగా మరియు మంచిది."
"Reporter: what about the AI??
Special Agent Udya: The AI is lost and the search is still going on 
but it seems as though the robot stopped working after she hit the water.
We are banning all the companies to build any future AI robots henceforth.","రిపోర్టర్: AI గురించి ఏమిటి ??
స్పెషల్ ఏజెంట్ ఉడియా: AI పోయింది మరియు శోధన ఇంకా కొనసాగుతోంది
ఆమె నీటిని కొట్టిన తర్వాత రోబోట్ పనిచేయడం మానేసినట్లు అనిపిస్తుంది.
ఇకపై భవిష్యత్తు AI రోబోట్లను నిర్మించడానికి మేము అన్ని కంపెనీలను నిషేధించాము."
 , 
"(Dua Lipa calls Dr. Roy for lunch)
Dr Roy: I was very thrilled and shocked to get a call from you honestly.
Dua Lipa - How could i not you made an AI robot which looks like me.","(దువా లిపా డాక్టర్ రాయ్ ను భోజనానికి పిలుస్తుంది)
డాక్టర్ రాయ్: మీ నుండి నిజాయితీగా కాల్ వచ్చినందుకు నేను చాలా ఆశ్చర్యపోయాను మరియు షాక్ అయ్యాను.
దువా లిపా - మీరు నాలాగే కనిపించే AI రోబోట్‌ను నేను ఎలా తయారు చేయలేను."
Dua lipa - Can i ask you why thou? Why me?,దువా లిపా - నీవు ఎందుకు అని నేను మిమ్మల్ని అడగవచ్చా? నేను ఎందుకు?
"Dr. Roy: Because I am very much fascinated by you. 
I love your music and your aura. Hence you! 
(Dr Roy smiles very coyly) ","డాక్టర్ రాయ్: ఎందుకంటే నేను మీ పట్ల చాలా ఆకర్షితుడయ్యాను.
నేను మీ సంగీతాన్ని మరియు మీ ప్రకాశాన్ని ప్రేమిస్తున్నాను. అందువల్ల మీరు!
(డాక్టర్ రాయ్ చాలా కాయ్‌గా నవ్వింది)"
"Dua Lipa: That's very flattering and thanks a lot.
(she goes back to prepare dinner. She cuts her finger by mistake)","దువా లిపా: ఇది చాలా పొగిడేది మరియు చాలా ధన్యవాదాలు.
(ఆమె విందు సిద్ధం చేయడానికి తిరిగి వెళుతుంది. ఆమె పొరపాటున వేలును కత్తిరించింది)"
(Dr Roy seeing this immediately goes to her and her hand),(డాక్టర్ రాయ్ ఇది వెంటనే ఆమె వద్దకు మరియు ఆమె చేతికి వెళుతుంది)
(But Dr Roy is in dismay. There's no blood coming out of her finger),(కానీ డాక్టర్ రాయ్ నిరాశలో ఉన్నాడు. ఆమె వేలు నుండి రక్తం బయటకు రావడం లేదు)
 , 
"DuaL Identity

CAST
- Dr. Roy: Jilson
- Dr. Aniket: Aniket
- Special Agent Nidhi: Nidhi
- Special Agent Uday: Uday
- DuaL: Dua Lipa

CREW

Screenplay : Nidhi Kulkarni
Cinematography : Uday
Edited by: Everyone on Monster's
Costume Designer: Individual Wardrobe
Makeup and Hair Stylist: Born that way
Visual Effects Supervisor: Dino","ద్వంద్వ గుర్తింపు

తారాగణం
- డాక్టర్ రాయ్: జిల్సన్
- డాక్టర్ అనికెట్: అనికెట్
- స్పెషల్ ఏజెంట్ నిధి: నిధి
- స్పెషల్ ఏజెంట్ ఉదయ్: ఉదయ్
- ద్వంద్వ: దువా లిపా

సిబ్బంది

స్క్రీన్ ప్లే: నిధి కులకర్ణి
సినిమాటోగ్రఫీ: ఉదయ్
సవరించబడింది: రాక్షసుడిపై ప్రతి ఒక్కరూ
కాస్ట్యూమ్ డిజైనర్: వ్యక్తిగత వార్డ్రోబ్
మేకప్ మరియు హెయిర్ స్టైలిస్ట్: ఆ విధంగా జన్మించారు
విజువల్ ఎఫెక్ట్స్ సూపర్‌వైజర్: డినో"
 , 
 , 
 , 
 , 
 , 
 , 
